VCSDFS - Musk (Version 1) Dataset - ari,nmi,sillhouette,db
0.05844336,0.73878473,0.23506976,0.90476446
0.05881962,0.74057311,0.19345488,1.04024806
0.08696107,0.75036641,0.17392214,1.08861824
0.11329955,0.75829339,0.16703761,1.05555751
0.13046641,0.76394108,0.15594518,1.0451143
0.15030926,0.76959504,0.15752007,1.11147428
0.14955357,0.77430356,0.16491622,1.05527912
0.15848369,0.77755457,0.16385011,1.05888464
0.15925854,0.78231364,0.1638838,1.12873744

==============================
SRCFS - Musk (Version 1) Dataset - ari,nmi,sillhouette,db
0.11008122,0.74086066,0.34803287,0.53869327
0.20065729,0.77765804,0.38349198,0.5736978
0.1868885,0.77892472,0.35650147,0.64146352
0.22781908,0.79466384,0.35021641,0.65429877
0.23552561,0.79975604,0.2837433,0.7540302
0.21520589,0.79292566,0.25184973,0.84729623
0.20196259,0.79345732,0.23763828,0.93706839
0.18749745,0.78770218,0.20435352,1.021963
0.16571916,0.78239242,0.1636873,1.09431895

==============================
