VCSDFS - COIL20 Dataset - ari,nmi,sillhouette,db
0.4568721,0.66745813,0.24306249,1.604061
0.5162502,0.71868796,0.22339752,1.62494794
0.53761017,0.72644624,0.22927231,1.62929913
0.53314862,0.71450914,0.22345965,1.72592014
0.52003713,0.72497182,0.23969774,1.6321586
0.51083159,0.72227155,0.23383064,1.72697979
0.53423759,0.7540511,0.23712928,1.77253786
0.53351138,0.75293047,0.23929055,1.75357588
0.60480236,0.78636483,0.22738536,1.75510819

==============================
FMIUFS - COIL20 Dataset - ari,nmi,sillhouette,db
0.50986637,0.71703091,0.2278393,1.65323472
0.54039501,0.73688325,0.21067086,1.67251861
0.47375566,0.70971998,0.20554593,1.70371361
0.57597361,0.76067592,0.21210017,1.64019306
0.52277005,0.73342536,0.22003421,1.71920157
0.56861305,0.76149662,0.20938829,1.71502517
0.52805115,0.74171133,0.22179266,1.76459615
0.59419471,0.7769534,0.24910857,1.69017858
0.58063021,0.77455552,0.24283063,1.68392403

==============================
SRCFS - COIL20 Dataset - ari,nmi,sillhouette,db
0.43878902,0.67434229,0.35122297,1.36975257
0.49257172,0.72581069,0.33499741,1.4572712
0.51772449,0.73266256,0.30504264,1.48211825
0.49644633,0.74016005,0.29550605,1.55884251
0.53942576,0.76477158,0.29593553,1.61483607
0.54195669,0.75401049,0.25531163,1.65454239
0.58337676,0.78312265,0.25655419,1.58871657
0.58379629,0.77765661,0.24477202,1.66543159
0.60599895,0.79686927,0.2467084,1.70757007

==============================
LSCAE - COIL20 Dataset - ari,nmi,sillhouette,db
0.53744718,0.74654676,0.23717363,1.68731511
0.58146222,0.76781703,0.22003207,1.78610586
0.52843348,0.74982816,0.20886217,1.75919256
0.58304467,0.78638596,0.20808643,1.80008779
0.5531903,0.75750648,0.22133972,1.82764048
0.56673432,0.75437403,0.20883515,1.8189054
0.54470317,0.75807289,0.21989726,1.73868043
0.51872001,0.74614018,0.22182472,1.78242123
0.56818279,0.76856679,0.2213656,1.80270563

==============================
