VARFILTER - TOX-171 Dataset - ari,nmi,sillhouette,db
0.1632153,0.23279881,0.04533235,3.37285245
0.15656195,0.26855275,0.05697357,3.26176731
0.15746665,0.2692291,0.05815232,3.22928213
0.15355903,0.26317625,0.06081981,3.19625362
0.15340997,0.26297632,0.06129159,3.218208
0.16072866,0.26682674,0.06321653,3.15336465
0.21479485,0.29787052,0.05082559,3.07809186
0.16643725,0.27883649,0.06161905,3.14660226
0.1668719,0.22041309,0.04449588,3.24053654

==============================
SUMFILTER - TOX-171 Dataset - ari,nmi,sillhouette,db
0.16602758,0.24296621,0.04768952,3.35594724
0.16485173,0.2381333,0.04598784,3.38130604
0.16096085,0.21316171,0.04822321,3.2752869
0.10798948,0.16626046,0.04868122,3.26625003
0.12553913,0.18335633,0.04874391,3.27132428
0.09928836,0.16089895,0.04670361,3.2269384
0.13118797,0.18658343,0.04737089,3.2569319
0.12304645,0.21264999,0.04875969,3.25534542
0.090918,0.15396415,0.04484629,3.28937503

==============================
