VARFILTER - Lung Discrete Dataset - ari,nmi,sillhouette,db
0.57693763,0.67486586,0.12426059,1.94067569
0.52467004,0.63862374,0.12027241,1.9859477
0.61963179,0.72811127,0.13331163,1.91069138
0.64977547,0.73807163,0.13092712,1.90456278
0.64977547,0.73807163,0.13403482,1.89060724
0.59251491,0.71987249,0.14202473,1.89345929
0.59967088,0.74809832,0.13060294,1.89661715
0.50477876,0.6627049,0.12683473,2.03020509
0.42836387,0.60763108,0.13607683,1.8489497

==============================
SUMFILTER - Lung Discrete Dataset - ari,nmi,sillhouette,db
0.57062135,0.65723262,0.12080181,1.95713483
0.5458353,0.64923661,0.10951973,2.01625522
0.52131676,0.62655237,0.10612632,2.0771696
0.41913046,0.61657125,0.12269711,2.12640481
0.40428147,0.59649437,0.12813907,2.09090631
0.40932639,0.56754305,0.09721588,2.30382875
0.38906827,0.58964072,0.09943128,2.10056126
0.35241741,0.47716316,0.10768133,2.08398772
0.27442865,0.36839175,0.09173739,2.2126974

==============================
