VARFILTER - Breast Cancer Wisconsin (Diagnostic) Dataset - ari,nmi,sillhouette,db
0.60278454,0.48103586,0.33336677,1.36091783
0.58052082,0.4618395,0.34153789,1.34357325
0.52689688,0.41316023,0.34012192,1.38059055
0.52180765,0.40734602,0.3239801,1.45791024
0.46974628,0.37056507,0.37021282,1.36872636
0.35002215,0.28224023,0.38519155,1.41109485
0.30511463,0.25600038,0.40047713,1.32417325
0.17197157,0.10505284,0.36858873,1.57538136
0.17131908,0.13387376,0.52082433,1.27991784

==============================
SUMFILTER - Breast Cancer Wisconsin (Diagnostic) Dataset - ari,nmi,sillhouette,db
0.67100874,0.5504475,0.34798629,1.28240166
0.69438355,0.57746837,0.36528375,1.20729285
0.68250675,0.56590665,0.37006494,1.20080729
0.76080061,0.66269571,0.36230774,1.20399222
0.74178024,0.6729678,0.37670071,1.12129582
0.65147827,0.60640062,0.41763991,0.99022914
0.62856932,0.56577026,0.42618271,0.97901554
0.57788108,0.51652752,0.47881473,0.8412841
0.49262704,0.42981427,0.65757522,0.49679121

==============================
