VARFILTER - Heart Statlog Dataset - ari,nmi,sillhouette,db
0.38473282,0.2966584,0.17943627,2.04299926
0.41310661,0.32137863,0.17054938,2.10865205
0.44231085,0.34546693,0.18612763,2.01293017
0.43246094,0.33697923,0.20433707,1.90236484
0.42272098,0.32872306,0.22449957,1.81246746
0.33982142,0.25896395,0.22110703,1.89653897
0.05166475,0.0704959,0.35724059,1.39023962
0.05166475,0.0704959,0.49668327,1.08634257
-0.00355083,0.00024132,0.70332536,0.63891947

==============================
SUMFILTER - Heart Statlog Dataset - ari,nmi,sillhouette,db
0.43224394,0.34505839,0.18629007,2.00767873
0.375638,0.28893182,0.1833311,2.0285871
0.33987946,0.25844807,0.18985383,2.00151613
0.27377928,0.20457724,0.20591204,1.87914342
0.26602688,0.1984497,0.21217663,1.79436484
0.16288775,0.12204432,0.21305901,1.80315416
0.13953672,0.10425721,0.24380037,1.5388438
0.13953672,0.11178551,0.2962885,1.2759083
0.12777208,0.0921753,0.35279219,1.13221767

==============================
