VARFILTER - Liver Disorders Dataset - ari,nmi,sillhouette,db
-0.00651186,0.0012986,0.46087633,1.19009547
-0.00651186,0.0012986,0.51750083,1.07674235
-0.00651186,0.0012986,0.51750083,1.07674235
-0.0027621,3.182e-05,0.44021105,1.25965089
0.00243356,0.00048146,0.55806406,1.0712238
0.00243356,0.00048146,0.55806406,1.0712238
-0.00551018,0.00062972,0.53849674,0.97851702
-0.00551018,0.00062972,0.53849674,0.97851702
0.00287664,0.00103267,0.64298035,0.56743695

==============================
SUMFILTER - Liver Disorders Dataset - ari,nmi,sillhouette,db
-0.00651186,0.0012986,0.46087633,1.19009547
-0.00333331,0.00015481,0.46773702,1.15085356
-0.00333331,0.00015481,0.46773702,1.15085356
-0.0014595,1.57e-06,0.44562687,1.09889833
-0.00227518,1.045e-05,0.29572058,1.48669473
-0.00227518,1.045e-05,0.29572058,1.48669473
-0.00084306,0.00013116,0.43350935,1.07651477
-0.00084306,0.00013116,0.43350935,1.07651477
-0.00844585,0.00251164,0.66945597,0.61312917

==============================
