VARFILTER - Lymphography Dataset - ari,nmi,sillhouette,db
0.18008143,0.25428231,0.13598478,1.76358019
0.17736202,0.24256103,0.13897986,1.8606122
0.15578666,0.24377692,0.166093,1.71331366
0.19185766,0.2444367,0.2118493,1.61997245
0.09109159,0.1952464,0.31571092,1.33755226
0.09109159,0.1952464,0.37505378,1.22192448
0.07331014,0.20121342,0.56287269,1.01216316
0.11495721,0.23870166,0.86385289,0.60925731
0.08777737,0.18179259,0.97453756,0.50631007

==============================
SUMFILTER - Lymphography Dataset - ari,nmi,sillhouette,db
0.17932131,0.24884448,0.12939978,1.82777287
0.18050542,0.25105979,0.12850904,1.8389201
0.07525505,0.1953574,0.1709884,1.68279536
0.10023607,0.18394958,0.20826885,1.65778708
0.07925788,0.19542233,0.27556706,1.3989492
0.08052124,0.2116397,0.30895587,1.00745689
0.07908867,0.18933454,0.4564188,0.80701441
0.05333381,0.18001133,0.88154224,0.58490895
0.09976907,0.19917597,0.98781609,0.17118449

==============================
