VARFILTER - Monks Problem Dataset - ari,nmi,sillhouette,db
-0.00232558,0.0,0.16878088,2.20882764
-0.00232558,0.0,0.20599424,1.97216652
-0.00232558,0.0,0.20599424,1.97216652
-0.00232558,0.0,0.20008627,2.0136465
-0.00232558,0.0,0.36839965,1.38742589
-0.00232558,0.0,0.36839965,1.38742589
-0.00232558,0.0,0.58385986,1.0
-0.00232558,0.0,0.58385986,1.0
-0.00232558,0.0,1.0,0.0

==============================
SUMFILTER - Monks Problem Dataset - ari,nmi,sillhouette,db
-0.00232558,0.0,0.16878088,2.20882764
-0.00232558,0.0,0.20528128,1.95725558
-0.00232558,0.0,0.20528128,1.95725558
0.10904393,0.08170417,0.19582219,1.94952397
-0.00206665,0.0,0.26219862,1.54025924
-0.00206665,0.0,0.26219862,1.54025924
0.01004881,0.00892394,0.38055862,1.19833905
0.01004881,0.00892394,0.38055862,1.19833905
0.10904393,0.08170417,0.73209302,0.5

==============================
