VARFILTER - Wine Dataset - ari,nmi,sillhouette,db
0.83682979,0.82516272,0.28200577,1.37506436
0.91350137,0.884806,0.29447272,1.32204036
0.86693992,0.83135819,0.28636036,1.36848079
0.61736695,0.62589228,0.23797704,1.47329159
0.56649264,0.55630142,0.21707761,1.50725497
0.65448971,0.63083129,0.22555832,1.46262882
0.29745151,0.35217864,0.3140657,1.33041276
0.17031269,0.22266361,0.30025006,1.2020505
0.16020832,0.1692535,0.33624849,0.96350158

==============================
SUMFILTER - Wine Dataset - ari,nmi,sillhouette,db
0.86361138,0.83471964,0.29586979,1.33386266
0.88039978,0.86094567,0.30835908,1.28816714
0.87927988,0.84640253,0.32944376,1.21283102
0.84979158,0.82222627,0.33239725,1.22629705
0.83684487,0.81549375,0.35700836,1.15430823
0.82033439,0.79642674,0.39729433,1.00679561
0.73782876,0.71780611,0.35999511,1.04744043
0.56468035,0.58731433,0.34103718,1.10559152
0.26183993,0.31063148,0.36067925,0.98531743

==============================
