VARFILTER - Ionosphere Dataset - ari,nmi,sillhouette,db
0.17760685,0.13485692,0.28470932,1.58407105
0.17272431,0.12986611,0.29639565,1.53917159
0.17272431,0.12986611,0.32382413,1.3997762
0.16790201,0.12499704,0.35427045,1.28374018
0.18717419,0.138626,0.40638766,1.13646196
0.17733479,0.13069622,0.40991791,1.13012362
0.15421577,0.11679085,0.3894618,1.1688861
0.17165336,0.11863155,0.35930133,1.31008777
0.20915562,0.24726739,0.62040048,0.80400425

==============================
SUMFILTER - Ionosphere Dataset - ari,nmi,sillhouette,db
0.15858554,0.11751291,0.27204904,1.64321579
0.12761477,0.08921453,0.26495641,1.66713997
0.07730304,0.04474684,0.25115185,1.80458251
0.05868579,0.03235771,0.238553,1.88191867
-0.01303335,0.00188216,0.25611898,1.67138831
-0.02374941,0.00910068,0.27560104,1.58870541
-0.00473186,0.00011548,0.29428297,1.58053373
0.00074782,6.845e-05,0.32860177,1.30367752
-0.00411004,6.677e-05,0.37087285,1.13393392

==============================
