VARFILTER - Scene Dataset - ari,nmi,sillhouette,db
-0.07320862,0.07099213,0.18523233,2.49823647
-0.07434025,0.07201198,0.19391195,2.45069839
-0.0708837,0.07358275,0.19906207,2.44606002
-0.0678504,0.07243766,0.20378723,2.44692844
-0.0650914,0.06711542,0.21963993,2.4145123
-0.07052907,0.06518462,0.24295543,2.34698239
-0.07193566,0.06346248,0.26599343,2.22355698
-0.07721213,0.0709702,0.2811201,2.12696209
-0.0720246,0.07461121,0.31133674,1.7426503

==============================
SUMFILTER - Scene Dataset - ari,nmi,sillhouette,db
-0.081273,0.07355393,0.17793731,2.51869806
-0.08431226,0.08091931,0.17644687,2.43872954
-0.08796926,0.08228147,0.17537811,2.37607107
-0.09177375,0.08011904,0.18139856,2.2813581
-0.08993736,0.07948169,0.18112046,2.27794734
-0.09311804,0.07018246,0.18690017,2.23470371
-0.09196143,0.06875358,0.18330921,2.25368412
0.01997608,0.1182884,0.12559693,2.58068667
0.01683292,0.11494684,0.13072857,2.42307334

==============================
