VARFILTER - Sonar Dataset - ari,nmi,sillhouette,db
-0.00466903,0.00200821,0.21772535,2.1996036
-0.00325541,0.00724657,0.24109617,2.08454693
0.00119171,0.01449783,0.2361319,2.13857136
-0.00022991,0.00876173,0.22537207,2.19015542
0.0045013,0.01387456,0.23124906,2.1560529
0.01344835,0.03189605,0.28094629,1.89463011
0.00646335,0.01815217,0.30627536,1.69003872
0.00859314,0.01945703,0.3301788,1.54362372
-0.00445314,0.00068875,0.30782527,1.40471937

==============================
SUMFILTER - Sonar Dataset - ari,nmi,sillhouette,db
-0.00019293,0.01335235,0.23964577,2.00761021
-0.00140354,0.01061907,0.24476084,1.92280148
-0.00325541,0.00724657,0.2486617,1.80782047
0.00447965,0.00484799,0.17446405,2.10606866
-0.00481601,0.00020609,0.16451985,2.01910918
-0.0048133,0.00024377,0.16009096,2.01436005
0.01612946,0.03155757,0.23493842,1.94383725
-0.00027342,0.00243176,0.19198204,1.83186102
0.01094291,0.0290735,0.33442375,1.46215002

==============================
