VARFILTER - Zoo Dataset - ari,nmi,sillhouette,db
0.74492865,0.84051563,0.38652342,1.14306426
0.6905452,0.7565605,0.43921371,1.00051158
0.61152034,0.73536904,0.43894176,1.09681019
0.62722209,0.74196296,0.53519095,0.89694681
0.55191703,0.69467611,0.6223312,0.7583229
0.58610548,0.70436596,0.70485689,0.69072622
0.44250517,0.61641905,0.89221234,0.44540424
0.34673552,0.53954539,0.95468294,0.1993592
0.01732276,0.12452485,0.99009901,0.0

==============================
SUMFILTER - Zoo Dataset - ari,nmi,sillhouette,db
0.93289609,0.89021488,0.3520711,1.19111219
0.61119695,0.75964262,0.36701998,1.04641515
0.5462178,0.73343571,0.35126482,1.29434559
0.48042533,0.65143454,0.45801031,1.02300412
0.40802733,0.57784852,0.60114588,0.9087355
0.30594791,0.51018789,0.63926073,0.92098353
0.30210133,0.51611927,0.88833975,0.5623344
0.30823011,0.51371135,0.95510135,0.28725129
0.01732276,0.12452485,0.99009901,0.0

==============================
