LSCAE - Hiva Agnostic Dataset - ari,nmi,sillhouette,db
0.03541512,0.00359187,0.23713964,2.28671446
0.08981849,0.01950226,0.28450379,1.86743306
0.01335872,0.00720241,0.09092002,5.50116467
0.01486786,0.00753501,0.08987035,5.72713522
0.01787167,0.00845162,0.09796935,5.82486577
0.00730714,0.00256526,0.05936031,5.99654677
0.01584825,0.00659832,0.10716995,6.00767002
0.01775425,0.0075723,0.11072976,6.03818263
0.02056414,0.00864149,0.11549147,6.10092493

==============================
DUFS - Hiva Agnostic Dataset - ari,nmi,sillhouette,db
0.08922854,0.01925691,0.24435244,1.91083351
0.01649233,0.00636096,0.10398207,5.66913556
0.06919829,0.01181277,0.24842815,3.1433438
0.07032965,0.01214452,0.25058027,3.151607
0.0205657,0.00759212,0.12379418,5.9186341
0.06808498,0.01149032,0.24766564,3.19998899
0.01650474,0.00660072,0.10895733,5.90084187
0.0174338,0.00670276,0.11526215,5.91389758
0.07147947,0.0124859,0.25054663,3.15812661

==============================
