LSCAE - Madelon Dataset - ari,nmi,sillhouette,db
0.03485707,0.02556537,0.04409672,4.51903348
-0.00038427,4.3e-07,0.02663482,5.9298386
0.00196476,0.00169625,0.01707893,7.43552271
0.02800607,0.02062809,0.01969446,6.89111069
0.02749006,0.02026363,0.01559496,7.77371318
0.02572185,0.01904956,0.01100752,9.20800872
0.03456899,0.02537298,0.00991732,9.74857291
0.01534254,0.0113745,0.00684303,11.68975636
0.03780493,0.02771585,0.00723313,11.35956699

==============================
DUFS - Madelon Dataset - ari,nmi,sillhouette,db
0.02697857,0.0198859,0.02080669,6.72498654
0.04735897,0.03471517,0.0141065,8.19279567
0.02800535,0.02057307,0.0112473,9.15855016
0.02473517,0.01821348,0.01220806,8.78653583
0.01879424,0.01388278,0.01107543,9.23080353
0.02522526,0.01856804,0.01030216,9.55128863
0.00677772,0.00517288,0.00999916,9.6972343
0.01024426,0.00768422,0.008797,10.3196792
0.02424946,0.01783956,0.00921949,10.08869728

==============================
