LSCAE - Musk (Version 1) Dataset - ari,nmi,sillhouette,db
0.14922204,0.77010704,0.27033789,0.79492916
0.10590101,0.75761536,0.18268191,1.02987659
0.18784879,0.79050247,0.17285247,1.05096448
0.17643425,0.78488197,0.16479637,1.07695559
0.17560722,0.78603043,0.14653834,1.08943498
0.13301525,0.76654553,0.14604023,1.10003609
0.16621751,0.7839763,0.1605193,1.11944022
0.15779951,0.77898416,0.15392657,1.09773164
0.14427681,0.77408776,0.15377895,1.12135445

==============================
DUFS - Musk (Version 1) Dataset - ari,nmi,sillhouette,db
0.09693262,0.7530387,0.24494917,0.86110271
0.12253429,0.76091998,0.23200361,0.88616639
0.09188035,0.75000353,0.20543968,0.94388784
0.10129844,0.75575096,0.22179157,0.93951619
0.13847746,0.77100502,0.1924737,0.9861007
0.13171395,0.76811906,0.16537702,1.10165825
0.13830146,0.76991022,0.14535338,1.1292009
0.14226485,0.77540086,0.15258681,1.17194552
0.14967427,0.77496949,0.14663089,1.12751489

==============================
