LSCAE - Scene Dataset - ari,nmi,sillhouette,db
-0.07955359,0.07837432,0.22043782,2.03438655
-0.06996365,0.07017593,0.17273752,2.65694551
-0.07232445,0.07428472,0.16483939,2.77404199
-0.06651017,0.04718449,0.15692833,3.03818164
-0.06391485,0.0490149,0.16263342,3.02551031
-0.07188897,0.04965925,0.17206393,2.99425706
-0.07266177,0.05795436,0.16745208,2.96149933
-0.06547321,0.06471758,0.15949327,2.84338895
-0.07570767,0.06555851,0.17114435,2.79865578

==============================
DUFS - Scene Dataset - ari,nmi,sillhouette,db
-0.08169328,0.08407673,0.41382426,1.07169026
-0.07635962,0.09250912,0.35798423,1.22554752
-0.07845105,0.09322216,0.30529423,1.46027123
-0.07900204,0.09556568,0.27018794,1.66667673
-0.07895858,0.0927081,0.24616252,1.84771723
-0.07668009,0.08947513,0.22381358,2.02394953
-0.07537115,0.08302532,0.21317471,2.1620919
-0.07616038,0.08218868,0.19825069,2.30177509
-0.07225841,0.07666166,0.18511111,2.43112027

==============================
