VCSDFS - AR10P Dataset - ari,nmi,sillhouette,db
0.18381239,0.41412661,0.18389057,1.49837467
0.14341583,0.36054345,0.16474253,1.69180946
0.119527,0.32782031,0.18836829,1.60057507
0.06049457,0.26281008,0.18209854,1.4994338
0.09484185,0.3060909,0.15705845,1.71829935
0.05112005,0.22475028,0.14198354,1.62467509
0.03840575,0.21345872,0.14397821,1.63633234
0.0460649,0.21033387,0.13697154,1.67610298
0.0620462,0.24080775,0.13336786,1.79913185

==============================
FMIUFS - AR10P Dataset - ari,nmi,sillhouette,db
0.11483871,0.30870423,0.14841182,1.7120052
0.07404415,0.2618236,0.15382267,1.63805289
0.0526147,0.24293018,0.12596805,1.71357047
0.03909198,0.20489708,0.14951694,1.64459749
0.08006922,0.26884572,0.12296664,1.78946055
0.0258094,0.1817834,0.13820321,1.73952746
0.05943955,0.24417022,0.11820517,1.74720856
0.068339,0.26613647,0.10700453,1.84400227
0.04358917,0.21822142,0.12826147,1.72260193

==============================
SRCFS - AR10P Dataset - ari,nmi,sillhouette,db
0.05366179,0.23482465,0.25797133,1.30747819
0.04122955,0.20144405,0.22302593,1.35500917
0.05362923,0.24424123,0.218316,1.43503343
0.04174323,0.21526042,0.17939576,1.51619694
0.04430085,0.22422253,0.1896231,1.56270235
0.03689409,0.18744386,0.17802468,1.68316954
0.07256243,0.25291104,0.15418412,1.60184179
0.05994075,0.23039776,0.15242907,1.66897036
0.03239337,0.18826378,0.13557235,1.6903981

==============================
LSCAE - AR10P Dataset - ari,nmi,sillhouette,db
0.0322002,0.20032301,0.12333408,1.75743304
0.06456993,0.24372496,0.11465836,1.80801955
0.04142012,0.22915458,0.13958524,1.68592389
0.0916129,0.28095197,0.12136039,1.75020597
0.09494187,0.27298487,0.11481121,1.83816207
0.08984316,0.28619142,0.12977442,1.67940193
0.04105255,0.20445266,0.12690294,1.72721815
0.07158731,0.26333355,0.12668653,1.7419035
0.02209473,0.1569776,0.12338212,1.66485285

==============================
