VCSDFS - Breast Cancer Wisconsin (Diagnostic) Dataset - ari,nmi,sillhouette,db
0.55021251,0.50183478,0.5031526,0.78975108
0.64066628,0.55200654,0.41359308,1.04060353
0.59074605,0.48184186,0.38249533,1.15071292
0.62369932,0.52882548,0.36796543,1.2164831
0.61188169,0.53242904,0.36950098,1.20470744
0.57953106,0.47462244,0.34927857,1.31693102
0.62928388,0.53771746,0.34075499,1.32635495
0.65201927,0.57216673,0.35221525,1.26893859
0.69970975,0.60056024,0.35838022,1.24716341

==============================
FMIUFS - Breast Cancer Wisconsin (Diagnostic) Dataset - ari,nmi,sillhouette,db
0.53396181,0.41097953,0.35277596,1.13005486
0.77939741,0.69454958,0.3670903,1.13256263
0.75500443,0.64214885,0.30716662,1.35469116
0.6540909,0.52951097,0.27119255,1.5844221
0.74838175,0.65049769,0.30467247,1.41690224
0.77302795,0.69449001,0.30962048,1.40217882
0.72983559,0.63691198,0.31877131,1.39040146
0.65942717,0.53803059,0.32365773,1.36939201
0.65923056,0.54038146,0.33220128,1.35063751

==============================
SRCFS - Breast Cancer Wisconsin (Diagnostic) Dataset - ari,nmi,sillhouette,db
0.74830269,0.65448858,0.59093855,0.60782424
0.71763688,0.62551986,0.5399065,0.73012856
0.6991893,0.6264148,0.55607859,0.69632263
0.72334555,0.65622792,0.47199259,0.87695511
0.76682659,0.68229151,0.45084202,0.93262625
0.76080061,0.66269571,0.40598948,1.04809893
0.73025534,0.62064056,0.36790336,1.1673231
0.73588238,0.64742229,0.37347501,1.18732627
0.71176171,0.61178508,0.36210908,1.2394666

==============================
LSCAE - Breast Cancer Wisconsin (Diagnostic) Dataset - ari,nmi,sillhouette,db
0.60557522,0.5556711,0.55557145,0.77130061
0.61711034,0.55623531,0.54496452,0.77885045
0.65331796,0.53638821,0.37182463,1.23386918
0.63018154,0.51696452,0.3319947,1.36627725
0.59214372,0.4679825,0.31034923,1.37652371
0.61420481,0.4901709,0.31676424,1.41870904
0.54322647,0.42379943,0.31460234,1.43564514
0.60290042,0.4801991,0.31389738,1.44542651
0.57543312,0.45385524,0.33910316,1.3555858

==============================
