VCSDFS - Ionosphere Dataset - ari,nmi,sillhouette,db
0.06459826,0.03180866,0.44839163,0.94745388
0.06844871,0.03500423,0.37418445,1.18772886
0.08074252,0.04174927,0.36230223,1.27920376
0.16142511,0.10670995,0.34897425,1.34962505
0.16598352,0.1095085,0.32811694,1.48098623
0.16241786,0.11301433,0.29061153,1.59523315
0.1631399,0.12024638,0.28151905,1.6138089
0.1825497,0.13997303,0.26275135,1.71566114
0.17272431,0.12986611,0.25996787,1.74194483

==============================
FMIUFS - Ionosphere Dataset - ari,nmi,sillhouette,db
-0.00498637,0.00013801,0.38505916,1.11866959
0.08346834,0.04270253,0.34766639,1.25167629
0.09946586,0.05499449,0.28567978,1.55182466
0.09592217,0.06189494,0.27930918,1.57291165
0.10303654,0.06598011,0.27038778,1.65252342
0.09509125,0.05832225,0.26690153,1.68945956
0.10782844,0.0748418,0.25779299,1.71638863
0.08435805,0.05038599,0.25693516,1.75376575
0.145168,0.10768513,0.26797377,1.64928895

==============================
SRCFS - Ionosphere Dataset - ari,nmi,sillhouette,db
0.20915562,0.24726739,0.59417992,0.88257752
0.21570491,0.14357964,0.39396384,1.27574213
0.17760685,0.13485692,0.39283529,1.15735332
0.16298469,0.11834349,0.38523604,1.17765267
0.18701527,0.1365873,0.32275059,1.43851577
0.15843793,0.11561102,0.32509241,1.41222159
0.17207709,0.12211417,0.31930141,1.45615999
0.17207709,0.12211417,0.28806421,1.60189813
0.17760685,0.13485692,0.28727824,1.58272205

==============================
LSCAE - Ionosphere Dataset - ari,nmi,sillhouette,db
0.01078605,0.00190568,0.39498392,1.20081874
0.17060464,0.11236245,0.44839919,1.0056367
0.09918177,0.06268662,0.28935587,1.58913785
0.14469224,0.1023686,0.32009359,1.39616127
0.14837732,0.10013849,0.30266604,1.53240841
0.14921415,0.10667476,0.2816526,1.62138257
0.12720341,0.08616994,0.28086692,1.63841189
0.14023027,0.0981672,0.26126524,1.76725188
0.14469224,0.1023686,0.27588618,1.67352703

==============================
