VCSDFS - Sonar Dataset - ari,nmi,sillhouette,db
-0.00333438,0.00047492,0.38162929,1.09658377
0.00269375,0.00498501,0.25514614,1.53334345
-0.00026752,0.00515195,0.26987145,1.48272882
0.02201814,0.02093959,0.22953687,1.71651698
0.02526934,0.02319177,0.21928957,1.76917094
0.0401337,0.03442631,0.19609941,1.92161799
0.03613858,0.0311486,0.17913225,2.04967457
0.04431309,0.03580119,0.15667812,2.17689981
0.03615206,0.03755683,0.17475589,2.34330641

==============================
FMIUFS - Sonar Dataset - ari,nmi,sillhouette,db
0.01338786,0.01125789,0.25424738,1.61183909
0.01608544,0.0129598,0.25126744,1.60387851
0.01896194,0.01513009,0.26555917,1.58753423
0.01608544,0.0129598,0.23100286,1.74740961
0.00446934,0.00523475,0.20369343,1.85757496
-0.00024649,0.00166932,0.21263455,1.87889607
-0.00466903,0.00200821,0.22577498,1.85675042
-0.00392586,0.00419944,0.21725016,1.99456186
0.00278578,0.02005781,0.23804859,1.96897961

==============================
SRCFS - Sonar Dataset - ari,nmi,sillhouette,db
0.03232931,0.0280523,0.36507751,1.06538111
-0.00396246,0.00235219,0.32056492,1.18022473
-0.00443879,0.00117133,0.26480971,1.46160938
0.00269324,0.00578699,0.21568407,1.70278756
-0.00148465,0.00310013,0.19915187,1.77425839
-0.00250712,0.0021894,0.17550223,1.91903974
-0.00394582,1.3e-07,0.20025091,1.95616944
-0.00465779,0.00242753,0.21917984,1.93471567
-0.00138487,0.01318861,0.23608227,1.93778292

==============================
LSCAE - Sonar Dataset - ari,nmi,sillhouette,db
0.00120351,0.01648669,0.32564383,1.67945095
0.00274746,0.01332483,0.2631909,1.60839221
0.01607332,0.01678495,0.17935874,2.05960174
-0.00242831,0.00825585,0.22745476,2.07516046
-0.00327286,0.00580066,0.24787846,2.03044627
-0.0013913,0.01223655,0.24730292,2.10128914
0.00455388,0.02410709,0.24409007,2.08775739
-0.00325541,0.00724657,0.228024,2.15103713
0.00119751,0.01544135,0.2424506,2.08122958

==============================
