VCSDFS - Wine Dataset - ari,nmi,sillhouette,db
0.37111372,0.42875686,0.58102879,0.5207316
0.63020831,0.65024994,0.51737533,0.65365462
0.78565301,0.75871185,0.42851342,0.90979026
0.84737834,0.81543191,0.35732961,1.09064529
0.7854749,0.75762687,0.31437557,1.21301767
0.74005678,0.72456195,0.32303046,1.19562505
0.75615723,0.76253223,0.30840978,1.23121893
0.72690151,0.74346802,0.2872831,1.30258317
0.74136575,0.752753,0.2763583,1.37664491

==============================
FMIUFS - Wine Dataset - ari,nmi,sillhouette,db
0.49279915,0.51850608,0.57958678,0.52193488
0.64755096,0.63425756,0.47556057,0.68117043
0.64227177,0.64615442,0.36312635,0.97070625
0.78386531,0.76202807,0.38857229,0.95496217
0.8795463,0.85047638,0.40947198,0.94066476
0.86671888,0.83865095,0.37306355,1.03914292
0.84894448,0.80476066,0.33013789,1.18326171
0.87927988,0.84640253,0.32944376,1.21283102
0.94866906,0.92820187,0.31453155,1.28401006

==============================
SRCFS - Wine Dataset - ari,nmi,sillhouette,db
0.12261746,0.1437351,0.584119,0.5078374
0.39438474,0.43430481,0.39433471,0.9576339
0.30516215,0.40316326,0.42999684,1.01604854
0.74683165,0.73633445,0.3440522,1.12582888
0.76485666,0.76081954,0.36102941,1.13130099
0.66468303,0.69642176,0.34346604,1.15903447
0.66926901,0.71535355,0.30365405,1.25290703
0.71414045,0.71361069,0.28408001,1.35874107
0.79200511,0.79011002,0.28735287,1.35663978

==============================
LSCAE - Wine Dataset - ari,nmi,sillhouette,db
0.49279915,0.51850608,0.57958678,0.52193488
0.64755096,0.63425756,0.47556057,0.68117043
0.42544301,0.48317658,0.3274929,1.18934236
0.76765597,0.72879706,0.3465398,1.09217836
0.75570468,0.70559023,0.30474074,1.24532041
0.74188614,0.72187719,0.28679515,1.36345245
0.75579674,0.73945395,0.28536619,1.33573586
0.79809288,0.76707405,0.25212777,1.50085019
0.71450996,0.74110399,0.26572601,1.47585961

==============================
