VCSDFS - PIE10P Dataset - ari,nmi,sillhouette,db
0.11281927,0.32214405,0.20664401,1.50380297
0.09858503,0.34023531,0.26637074,1.45887457
0.10549944,0.34911598,0.27554915,1.43534578
0.14605079,0.3974282,0.26282593,1.40751799
0.15601274,0.41720476,0.27708793,1.38980853
0.10358681,0.31016063,0.21809984,1.41526584
0.12977265,0.35997306,0.21460213,1.46130987
0.08173307,0.29628761,0.16263274,1.74877224
0.10285656,0.33098489,0.1847023,1.58786041

==============================
FMIUFS - PIE10P Dataset - ari,nmi,sillhouette,db
0.0325477,0.18860431,0.20602809,1.43905899
0.07480271,0.27374633,0.21303482,1.4365907
0.05217685,0.25776707,0.2614899,1.42571448
0.02071962,0.18163414,0.22786676,1.44185749
0.06371379,0.24945781,0.18613005,1.56311965
0.05604185,0.2259573,0.1825909,1.63843378
0.07785268,0.27942379,0.16854663,1.49350503
0.06640239,0.26322981,0.18365896,1.57434104
0.10173195,0.32670322,0.1750784,1.6363179

==============================
SRCFS - PIE10P Dataset - ari,nmi,sillhouette,db
0.14616784,0.36744152,0.26250777,1.23271178
0.20087836,0.39470378,0.23303146,1.37562197
0.13318714,0.34330148,0.22345801,1.48533193
0.13452238,0.34996739,0.22613412,1.47489821
0.12836709,0.32978742,0.19152409,1.62722705
0.1520805,0.37332225,0.19550323,1.55810516
0.13022293,0.35812575,0.20268284,1.59533693
0.11736622,0.3395626,0.19565975,1.67791205
0.11163661,0.33013507,0.16584725,1.62170229

==============================
LSCAE - PIE10P Dataset - ari,nmi,sillhouette,db
0.11167296,0.34845658,0.15979636,1.79188849
0.1536352,0.38573881,0.16343001,1.71154366
0.10583422,0.34081112,0.18648537,1.56587882
0.12119413,0.36238441,0.17537753,1.65417228
0.1064407,0.34110671,0.19400943,1.53426588
0.11662556,0.36082425,0.1844117,1.57250516
0.14187389,0.40151757,0.18966051,1.57130446
0.12413921,0.36486959,0.18870811,1.59849531
0.05976695,0.26947804,0.18307204,1.68906924

==============================
