DUFS - Breast Cancer Wisconsin (Diagnostic) Dataset - ari,nmi,sillhouette,db
0.49262704,0.42981427,0.65757522,0.49679121
0.63502961,0.54269234,0.55097749,0.7307744
0.58936092,0.51361586,0.50402761,0.88123604
0.58326432,0.52846795,0.52195129,0.81898091
0.58936092,0.51361586,0.46076561,0.98846872
0.61218052,0.52304405,0.45027865,1.01295853
0.64695848,0.54237478,0.43922604,1.05725595
0.6642098,0.56451959,0.39261794,1.16278122
0.6705179,0.55854712,0.3647524,1.24360205

==============================
