VCSDFS - TOX-171 Dataset - ari,nmi,sillhouette,db
0.14347075,0.22819991,0.04682461,3.23139984
0.16400144,0.24492046,0.05775074,3.0394811
0.17382869,0.24497163,0.04566439,3.39025843
0.17279011,0.22537951,0.04913463,3.36057337
0.16267003,0.23350651,0.04568706,3.39392311
0.16267003,0.23350651,0.04590569,3.38998351
0.16481925,0.2350783,0.04555468,3.39448999
0.16267003,0.23350651,0.04504226,3.39815939
0.1594733,0.22981048,0.04531292,3.39150846

==============================
FMIUFS - TOX-171 Dataset - ari,nmi,sillhouette,db
0.09900708,0.16359746,0.05625859,3.06681871
0.15860669,0.27089185,0.06479219,3.05294893
0.10099915,0.17015715,0.05240526,3.09447795
0.12323591,0.18621328,0.05007012,3.0847892
0.15308721,0.26418319,0.06501148,3.08637247
0.15450239,0.26326106,0.06989323,3.01857665
0.14942752,0.26062766,0.06320183,3.10651466
0.15980564,0.2703666,0.05960092,3.18585399
0.16296342,0.23292839,0.04729105,3.32305104

==============================
SRCFS - TOX-171 Dataset - ari,nmi,sillhouette,db
0.17710654,0.33419571,0.12662514,2.38593853
0.19212881,0.34539909,0.10501953,2.57779795
0.24617144,0.31362836,0.07789324,2.55618459
0.17504628,0.29446242,0.08258541,2.79968722
0.19227301,0.33574072,0.08172253,2.86483089
0.19151166,0.26610043,0.07441034,2.67330893
0.16606309,0.27224176,0.07383866,2.93112816
0.12587876,0.18396226,0.05098742,2.96410893
0.16939386,0.22027713,0.05166705,3.24799625

==============================
LSCAE - TOX-171 Dataset - ari,nmi,sillhouette,db
0.20373784,0.23907089,0.05248952,3.27838788
0.10215509,0.16554182,0.05294935,3.15245864
0.10863212,0.16744662,0.04534058,3.34428343
0.14880935,0.20256729,0.04770271,3.29140713
0.09839693,0.1580576,0.04975225,3.2194298
0.17365332,0.23747064,0.04596385,3.32285712
0.17365332,0.23747064,0.04771691,3.27842373
0.11726423,0.19427586,0.05214402,3.35945946
0.15615897,0.26805313,0.05854126,3.24139079

==============================
