LS - AR10P Dataset - ari,nmi,sillhouette,db
0.07577862,0.29164836,0.23438143,1.54220673
0.0538987,0.23482079,0.21426912,1.48368317
0.05875131,0.26682097,0.20985688,1.48722401
0.07374422,0.27495997,0.20530699,1.48656329
0.07320971,0.25602155,0.19477573,1.48566887
0.08107009,0.26520248,0.17944403,1.5730697
0.05135135,0.22147634,0.17172372,1.58336173
0.06087481,0.23397025,0.19417372,1.51566072
0.04605707,0.22915949,0.1749492,1.65438616

==============================
MCFS - AR10P Dataset - ari,nmi,sillhouette,db
0.04488237,0.21545422,0.11484836,1.8664395
0.0445924,0.21994302,0.14241388,1.9216232
0.06719238,0.29278195,0.14748225,1.76664425
0.0460808,0.22764951,0.14011979,1.89694971
0.04429593,0.22903345,0.14121615,1.93465314
0.0401026,0.20779757,0.15639695,1.7678233
0.03736402,0.21399522,0.16247716,1.77956186
0.0328071,0.20485245,0.1751152,1.63187158
0.07137986,0.27213208,0.1528642,1.69189188

==============================
UDFS - AR10P Dataset - ari,nmi,sillhouette,db
0.07571765,0.28169928,0.12863811,1.69277294
0.11002822,0.3292927,0.12687697,1.84903396
0.08748489,0.27448659,0.12809496,1.86559317
0.07223496,0.28256749,0.15377815,1.75646857
0.05628873,0.24826979,0.12536222,1.7893579
0.06118073,0.25194565,0.11724474,1.84751369
0.0459168,0.21211307,0.12937384,1.75272442
0.00804792,0.15898852,0.11885479,1.8301507
0.01162158,0.17067423,0.14221142,1.6463037

==============================
