LS - Breast Cancer Wisconsin (Diagnostic) Dataset - ari,nmi,sillhouette,db
0.65811427,0.56723242,0.66671508,0.44148042
0.62460204,0.50985525,0.63516736,0.49833203
0.64730806,0.53478125,0.58762591,0.60200193
0.7618626,0.65338033,0.5335276,0.73076698
0.77424853,0.66793874,0.47513957,0.85546882
0.75542792,0.63943638,0.4451901,0.93918101
0.7432892,0.62714943,0.40033189,1.05649978
0.72524745,0.61007604,0.36429096,1.17231374
0.70732656,0.59112194,0.33838846,1.25732104

==============================
MCFS - Breast Cancer Wisconsin (Diagnostic) Dataset - ari,nmi,sillhouette,db
0.41814991,0.31407352,0.4087544,0.98758354
0.57230096,0.46373056,0.43400861,0.95176556
0.6663495,0.5480742,0.40300068,1.05221393
0.71942158,0.61015199,0.33481185,1.28370399
0.73723133,0.62086732,0.3460981,1.2301568
0.6663495,0.5480742,0.36600271,1.17173571
0.74344529,0.631285,0.3056424,1.38253894
0.72519261,0.60865045,0.31978976,1.30899158
0.69542575,0.57687195,0.3010524,1.38755465

==============================
UDFS - Breast Cancer Wisconsin (Diagnostic) Dataset - ari,nmi,sillhouette,db
0.66321723,0.61625681,0.53833422,0.80196054
0.67669775,0.55867013,0.414371,1.0829511
0.62483785,0.50657867,0.37306616,1.27260886
0.64741998,0.53276138,0.34636047,1.36566088
0.61928553,0.4999684,0.31494268,1.48579612
0.60266609,0.48202858,0.33361378,1.4016938
0.59129155,0.47445033,0.35342353,1.35864094
0.57517443,0.45574758,0.3595874,1.31301747
0.63624466,0.51718646,0.35905959,1.286418

==============================
