LS - COIL20 Dataset - ari,nmi,sillhouette,db
0.47191881,0.69997484,0.34532712,1.353622
0.4902477,0.73225258,0.33647487,1.34898768
0.49485092,0.7574971,0.33782752,1.34905212
0.55563693,0.76848199,0.31365334,1.45756136
0.5265322,0.7528877,0.2976027,1.48428084
0.56912936,0.77259942,0.28190804,1.5288897
0.57706921,0.77491992,0.27971626,1.61147178
0.6619245,0.80925317,0.26929865,1.60954663
0.5971814,0.78149937,0.25686844,1.68674224

==============================
MCFS - COIL20 Dataset - ari,nmi,sillhouette,db
0.56079629,0.77598648,0.28349427,1.56402617
0.57915578,0.78544836,0.26506013,1.70055996
0.55349698,0.76872737,0.25671084,1.7955549
0.57036185,0.78052888,0.25517996,1.74026275
0.643065,0.80035729,0.24580115,1.81610989
0.58127904,0.76923632,0.24126741,1.7675465
0.62324336,0.79391826,0.24536184,1.78498241
0.60804738,0.78588899,0.25371337,1.74802175
0.56802541,0.77666013,0.25343361,1.80336847

==============================
UDFS - COIL20 Dataset - ari,nmi,sillhouette,db
0.37649774,0.60912684,0.25793749,1.38753958
0.44422945,0.68123613,0.23095212,1.59771813
0.51481223,0.72002061,0.21513243,1.64460538
0.5340791,0.74552824,0.21634719,1.72303065
0.57183323,0.75732091,0.22238586,1.77464637
0.50776763,0.73419993,0.23016951,1.81254951
0.58000012,0.77859809,0.23137621,1.80833593
0.60801788,0.78225835,0.22939803,1.85867335
0.57806397,0.76398815,0.2209799,1.79582959

==============================
