LS - Heart Statlog Dataset - ari,nmi,sillhouette,db
-0.00355083,0.00024132,0.95199607,0.11121732
0.05166475,0.0704959,0.69196407,0.59139406
0.02803444,0.02377171,0.43687412,1.21485508
0.26615451,0.20353141,0.27288386,1.61490543
0.28180617,0.21908847,0.24040613,1.72962613
0.30609126,0.24413264,0.22291983,1.78521684
0.31440879,0.24596068,0.19219546,1.93986838
0.35763877,0.28129333,0.18854306,1.9647734
0.39420666,0.32037323,0.18860991,1.95036959

==============================
MCFS - Heart Statlog Dataset - ari,nmi,sillhouette,db
0.27383201,0.20512176,0.88115429,0.17482428
0.27383201,0.20512176,0.58159659,0.76405499
0.28171971,0.21165436,0.41869469,1.1264353
0.26616573,0.20982246,0.29342154,1.40296865
0.24350331,0.18383526,0.26834029,1.51699741
0.28180617,0.21908847,0.22789203,1.71056907
0.30609126,0.23820306,0.21776981,1.75848579
0.30609126,0.23820306,0.2021406,1.86388582
0.31440486,0.24424522,0.18656236,1.97244155

==============================
UDFS - Heart Statlog Dataset - ari,nmi,sillhouette,db
0.02802887,0.02424493,0.9889694,0.01428422
0.02802887,0.02424493,0.58428531,0.88719991
0.02802887,0.02424493,0.3972218,1.26853493
0.35764122,0.28567247,0.26721455,1.6188846
0.34001821,0.26839128,0.22078993,1.81186799
0.37570481,0.29884788,0.20556115,1.88264936
0.38478456,0.2960375,0.18391722,2.02982799
0.45227072,0.35419891,0.18209025,2.01022045
0.44212427,0.35294635,0.19237072,1.95599384

==============================
