LS - Hiva Agnostic Dataset - ari,nmi,sillhouette,db
0.09154216,0.02157322,0.53271672,1.5959977
0.0902903,0.02114837,0.29252106,2.23583091
-0.00888504,0.00364961,0.04422763,3.82532101
-0.00823939,0.00380218,0.04121795,4.20772826
-0.00742752,0.00319357,0.03822486,4.49433465
-0.00974404,0.00443065,0.03627052,4.68116759
-0.0088375,0.00376581,0.03542445,4.87348205
-0.01024485,0.00472301,0.03390801,4.97840523
-0.01244173,0.00594435,0.03172541,5.04390756

==============================
MCFS - Hiva Agnostic Dataset - ari,nmi,sillhouette,db
-0.02095764,0.01086429,0.04135973,4.32720865
-0.02163664,0.00976501,0.03652173,4.75055665
-0.01756296,0.00755795,0.03343288,4.79600481
-0.01365696,0.00458808,0.0337843,4.86640247
-0.02649099,0.00928956,0.03617778,4.67481957
-0.01643585,0.00574287,0.03067304,4.97627312
-0.01794731,0.0064692,0.02970412,5.04038824
-0.01738499,0.00791264,0.02970166,5.13067493
-0.01684066,0.0071283,0.0286487,5.21341763

==============================
UDFS - Hiva Agnostic Dataset - ari,nmi,sillhouette,db
0.01242443,0.00295284,0.17265132,3.12408821
-0.02138605,0.00194721,0.27530906,1.91913646
-0.02214735,0.00210714,0.21066112,2.24430252
0.01301546,0.00367218,0.08822768,4.57757392
0.01352325,0.00382908,0.08760633,4.97154369
0.01320733,0.00421648,0.08415928,5.30790633
0.01059639,0.00306852,0.08063243,5.52158475
0.00579295,0.0017033,0.06806166,5.71024629
0.00724529,0.00203873,0.07223551,5.8363783

==============================
