LS - Ionosphere Dataset - ari,nmi,sillhouette,db
0.14952967,0.11028275,0.62962997,0.52338552
0.15001953,0.12045816,0.54621402,0.66740024
0.13701834,0.11495014,0.5127469,0.74475158
0.14131534,0.1222411,0.48451487,0.807527
0.13279079,0.11243685,0.43509423,0.93653042
0.13279079,0.11243685,0.3959373,1.04782297
0.13702266,0.117269,0.36930967,1.1345803
0.14568173,0.12484516,0.33849254,1.24463591
0.14131964,0.11982776,0.31924796,1.32364602

==============================
MCFS - Ionosphere Dataset - ari,nmi,sillhouette,db
0.14023027,0.0981672,0.56987051,0.61317862
0.15421577,0.11679085,0.44261811,0.91125344
0.15883004,0.12152068,0.35755425,1.16265576
0.14995567,0.11827891,0.39326212,1.05636586
0.14561755,0.11783723,0.35601146,1.17947362
0.13279079,0.11243685,0.33862022,1.23984195
0.14561755,0.11783723,0.31267697,1.35010824
0.15006636,0.12271649,0.31083169,1.36215707
0.15457582,0.12773053,0.30254631,1.39821453

==============================
UDFS - Ionosphere Dataset - ari,nmi,sillhouette,db
0.22063715,0.14562098,0.49617655,0.9610068
0.12720341,0.08616994,0.30778852,1.44966684
0.13233452,0.0983304,0.30476167,1.45435463
0.14938046,0.10844852,0.34634035,1.28720465
0.15843793,0.11561102,0.33589069,1.34339
0.16814381,0.12915635,0.34017938,1.30242651
0.16350465,0.12637284,0.32063295,1.37143838
0.16339987,0.12425801,0.2937606,1.51299934
0.17760685,0.13485692,0.28009436,1.60217013

==============================
