LS - Liver Disorders Dataset - ari,nmi,sillhouette,db
0.00724867,0.01053919,0.66184575,0.46764619
0.00724867,0.01053919,0.66184575,0.46764619
0.00724867,0.01053919,0.66184575,0.46764619
0.00298214,0.00267747,0.3502093,1.20738041
-0.00274975,0.00051067,0.28073829,1.45599566
-0.00274975,0.00051067,0.28073829,1.45599566
-0.00276959,3.06e-06,0.25366397,1.60595782
-0.00276959,3.06e-06,0.25366397,1.60595782
-0.00231768,0.00237305,0.23756055,1.71251946

==============================
MCFS - Liver Disorders Dataset - ari,nmi,sillhouette,db
0.00724867,0.01053919,0.66184575,0.46764619
0.00724867,0.01053919,0.66184575,0.46764619
0.00724867,0.01053919,0.66184575,0.46764619
0.02260405,0.02087089,0.46984069,0.84388198
-0.00231768,0.00237305,0.36101937,1.1886626
-0.00231768,0.00237305,0.36101937,1.1886626
-0.00056629,0.0029688,0.28445409,1.48516594
-0.00056629,0.0029688,0.28445409,1.48516594
-0.00239859,0.0025472,0.28191919,1.51606486

==============================
UDFS - Liver Disorders Dataset - ari,nmi,sillhouette,db
0.00287664,0.00103267,0.64298035,0.56743695
0.00287664,0.00103267,0.64298035,0.56743695
0.00287664,0.00103267,0.64298035,0.56743695
-0.00551018,0.00062972,0.53849674,0.97851702
-0.01007159,0.00445421,0.58259211,0.97025383
-0.01007159,0.00445421,0.58259211,0.97025383
-0.00700808,0.0015309,0.57771514,0.97954085
-0.00700808,0.0015309,0.57771514,0.97954085
-0.00651186,0.0012986,0.51750083,1.07674235

==============================
