LS - Lymphography Dataset - ari,nmi,sillhouette,db
0.0135456,0.11517675,0.55953355,0.51696883
0.05343672,0.09239894,0.78996082,0.45150763
0.10172548,0.12566088,0.61908174,0.77640259
0.10172548,0.12566088,0.41850687,1.1038196
0.09655724,0.1445121,0.27288872,1.45409818
0.11018984,0.1565999,0.22198445,1.66233545
0.15259426,0.19294609,0.19647195,1.80139059
0.12709823,0.17051475,0.17086921,1.92720278
0.17257594,0.21893107,0.14399789,2.11344883

==============================
MCFS - Lymphography Dataset - ari,nmi,sillhouette,db
0.03631718,0.1270954,0.58083627,0.51704049
0.04600243,0.16649614,0.85021453,0.54744481
0.05661852,0.1066175,0.72203841,0.87060006
0.03739441,0.1009698,0.42888021,1.04424298
0.02766494,0.09152454,0.25844852,1.52417196
0.03874353,0.09765552,0.22152469,1.6495257
0.05517199,0.1121355,0.16849814,1.96935129
0.13972203,0.18526081,0.14565699,2.12143254
0.17232779,0.22112395,0.12728373,2.17110842

==============================
UDFS - Lymphography Dataset - ari,nmi,sillhouette,db
0.09013274,0.2129762,1.0,0.0
0.14821942,0.21759473,0.75936479,0.44211134
0.14640081,0.21110924,0.45790925,1.00828431
0.07623331,0.17373663,0.29286891,1.1456075
0.08073964,0.16424688,0.22649499,1.32226503
0.20155964,0.29032236,0.16468462,1.60725843
0.31075712,0.33137969,0.15226295,1.69593824
0.24608188,0.29374647,0.14686944,1.69873883
0.27680584,0.35079978,0.14078286,1.79146168

==============================
