LS - Lymphoma Dataset - ari,nmi,sillhouette,db
0.31189316,0.65588408,0.17861329,1.73430618
0.33768976,0.67154951,0.14925254,1.92996188
0.33314944,0.66396049,0.13331816,2.09629831
0.31877428,0.64155986,0.11567459,2.18788353
0.30914593,0.66343131,0.10482094,2.23875436
0.29609462,0.66745192,0.09759549,2.37773521
0.33206535,0.69430905,0.09501042,2.2756803
0.33628507,0.6918265,0.08815823,2.32739117
0.34861,0.67258796,0.08024203,2.41899716

==============================
MCFS - Lymphoma Dataset - ari,nmi,sillhouette,db
0.35543333,0.70527585,0.08483736,2.38706644
0.30906253,0.68214398,0.07767664,2.51941971
0.32463044,0.65595242,0.06268558,2.69308011
0.29420848,0.64033191,0.07606291,2.52160988
0.26763989,0.65822321,0.08407735,2.39558526
0.26095555,0.6193702,0.06804377,2.57430628
0.29566798,0.67123866,0.07665953,2.52923309
0.27483432,0.63876869,0.07682421,2.5318744
0.26741734,0.63588239,0.07684685,2.51335309

==============================
UDFS - Lymphoma Dataset - ari,nmi,sillhouette,db
0.3237205,0.62300212,0.05894161,2.70561281
0.42842461,0.75633721,0.06953164,2.44776835
0.32496859,0.69441516,0.07099265,2.51292119
0.39903924,0.71632753,0.06126965,2.62452619
0.30232278,0.6451361,0.0816847,2.37025702
0.29536502,0.64423659,0.08260105,2.39802617
0.30232278,0.6451361,0.08505661,2.37619963
0.38481959,0.717174,0.06796794,2.5501488
0.39807699,0.73100752,0.06774265,2.49005251

==============================
