LS - Madelon Dataset - ari,nmi,sillhouette,db
0.02774662,0.02038096,0.07792042,3.28976724
0.02621946,0.01927356,0.04012626,4.76439409
0.02647106,0.01945832,0.02707639,5.87207397
0.0267238,0.01964061,0.02047468,6.78693269
0.0240085,0.01766191,0.01644374,7.58861771
0.02449154,0.01801394,0.01374946,8.30439189
0.02329285,0.01714221,0.01182865,8.95367833
0.02497929,0.01836782,0.01035441,9.56354035
0.03038729,0.02235325,0.00921104,10.11960382

==============================
MCFS - Madelon Dataset - ari,nmi,sillhouette,db
0.00042973,0.00059336,0.04838139,4.28984673
0.05043298,0.03697615,0.02484171,6.14626157
0.05504235,0.04034657,0.01672402,7.52497892
0.04803375,0.03520466,0.01262008,8.67279272
0.03901734,0.02861264,0.01287958,8.57407672
0.01692573,0.01259123,0.00938134,10.01138935
0.0264729,0.01959115,0.00886747,10.30035567
0.01879411,0.01387613,0.00853366,10.51553311
0.02497945,0.0183784,0.00761892,11.11303278

==============================
UDFS - Madelon Dataset - ari,nmi,sillhouette,db
0.00042546,0.00058441,0.01592775,7.70849961
0.00399409,0.0031703,0.01030751,9.62195966
0.01138671,0.00860118,0.01340784,8.37731177
0.00134129,0.0012454,0.01305392,8.51231872
0.00109502,0.00106762,0.0106732,9.40899877
0.00369309,0.0029435,0.01153299,9.04579412
0.00828193,0.00626258,0.01056827,9.43671661
0.03203213,0.02390578,0.00957001,9.87639738
0.02852631,0.02095611,0.00873364,10.3583642

==============================
