LS - Monks Problem Dataset - ari,nmi,sillhouette,db
-0.00232558,0.0,0.92662097,0.11236373
-0.00232558,0.0,0.92662097,0.11236373
-0.00232558,0.0,0.92662097,0.11236373
-0.00232558,0.0,0.53983827,1.00928496
-0.00232558,0.0,0.35775307,1.37060162
-0.00232558,0.0,0.35775307,1.37060162
-0.00232558,0.0,0.26560826,1.67322391
-0.00232558,0.0,0.26560826,1.67322391
-0.00232558,0.0,0.21045681,1.93332014

==============================
MCFS - Monks Problem Dataset - ari,nmi,sillhouette,db
-0.00232558,0.0,0.92662097,0.11236373
-0.00232558,0.0,0.92662097,0.11236373
-0.00232558,0.0,0.92662097,0.11236373
-0.00232558,0.0,0.53983827,1.00928496
-0.00232558,0.0,0.35775307,1.37060162
-0.00232558,0.0,0.35775307,1.37060162
-0.00232558,0.0,0.26560826,1.67322391
-0.00232558,0.0,0.26560826,1.67322391
-0.00232558,0.0,0.21045681,1.93332014

==============================
UDFS - Monks Problem Dataset - ari,nmi,sillhouette,db
-0.00206665,0.0,0.74912892,0.33333333
-0.00206665,0.0,0.74912892,0.33333333
-0.00206665,0.0,0.74912892,0.33333333
-0.0022968,0.0,0.39161511,1.20706664
-0.00232558,0.0,0.27414793,1.64790293
-0.00232558,0.0,0.27414793,1.64790293
-0.00232558,0.0,0.20008627,2.0136465
-0.00232558,0.0,0.20008627,2.0136465
-0.00232558,0.0,0.20599424,1.97216652

==============================
