LS - Musk (Version 1) Dataset - ari,nmi,sillhouette,db
0.04365902,0.7142947,0.28188157,0.64919419
0.1619349,0.77415563,0.2703078,0.8012805
0.18405703,0.78120151,0.26543905,0.82470289
0.19878744,0.78999501,0.26062528,0.86531618
0.20730667,0.79008819,0.25285547,0.88515876
0.16202431,0.77136358,0.24062113,0.93869244
0.16549023,0.78214851,0.22997189,1.00534309
0.15675348,0.77861092,0.20622713,1.08482098
0.19021057,0.78901539,0.20057572,1.06173664

==============================
MCFS - Musk (Version 1) Dataset - ari,nmi,sillhouette,db
0.19416596,0.78378664,0.39085567,0.60522438
0.23039573,0.80007379,0.33042092,0.71661549
0.17576451,0.78916724,0.21277916,0.99594491
0.20418243,0.79555235,0.22220239,1.02176448
0.18584021,0.79085341,0.18607134,1.12719836
0.14646049,0.77790547,0.17549741,1.11825299
0.15634439,0.77939952,0.16387698,1.15240305
0.15074117,0.77835875,0.16579444,1.1613006
0.14360141,0.77327663,0.1678944,1.16437828

==============================
UDFS - Musk (Version 1) Dataset - ari,nmi,sillhouette,db
0.09322193,0.74409798,0.25256563,0.79570302
0.10113441,0.7552778,0.17259766,1.07728728
0.0844434,0.7500977,0.16587136,1.08713545
0.10260521,0.75946486,0.14331779,1.14945185
0.12082485,0.76601347,0.14213361,1.16289876
0.14516274,0.77290079,0.1416532,1.14020341
0.14885686,0.77774967,0.14788902,1.15208476
0.17223426,0.77954933,0.15922221,1.12738591
0.15636549,0.77628831,0.1524856,1.12527132

==============================
