LS - PIE10P Dataset - ari,nmi,sillhouette,db
0.18719612,0.42124634,0.3093321,1.09590632
0.15945792,0.41418297,0.28352736,1.18396137
0.15524434,0.38625067,0.24938683,1.28734727
0.15042062,0.3726338,0.24149824,1.34527331
0.1664812,0.40574317,0.23130658,1.35651857
0.12953042,0.36133389,0.19582476,1.6252041
0.16897804,0.41282745,0.19297739,1.59632732
0.15196581,0.40090041,0.18826457,1.61502391
0.1070369,0.32977483,0.17560766,1.65561223

==============================
MCFS - PIE10P Dataset - ari,nmi,sillhouette,db
0.14462824,0.401393,0.13884446,1.86534767
0.110848,0.3550106,0.17522478,1.77124138
0.1010143,0.34660038,0.18008084,1.75393476
0.12382899,0.37250896,0.16416006,1.8582194
0.13537055,0.39397899,0.14282024,1.82387382
0.12490061,0.36464838,0.17365832,1.77730016
0.10735414,0.33798261,0.17162305,1.68566894
0.09689118,0.31297124,0.16823662,1.766742
0.085556,0.3015336,0.18199989,1.69442646

==============================
UDFS - PIE10P Dataset - ari,nmi,sillhouette,db
0.03905012,0.21885834,0.21912083,1.41108707
0.05874621,0.27196944,0.23320908,1.51550304
0.06271738,0.27949742,0.23310342,1.62049484
0.05451277,0.24460977,0.18422296,1.55423804
0.0386917,0.22800589,0.20691171,1.53724441
0.05468839,0.23880776,0.187199,1.52553674
0.05792341,0.2411812,0.17622125,1.56963966
0.08151983,0.28847524,0.15665855,1.64508975
0.08621364,0.29483923,0.16773865,1.73709616

==============================
