LS - Scene Dataset - ari,nmi,sillhouette,db
-0.00905155,0.07629496,0.35711282,1.06709815
0.0205303,0.11407283,0.29599757,1.31438292
0.0301026,0.11516492,0.25308908,1.52105313
0.026661,0.11322473,0.19587666,1.85686175
-0.0050564,0.10348448,0.16396375,2.09754444
-0.00565789,0.10468216,0.14842229,2.26020284
-0.04225117,0.08684339,0.14130305,2.32724305
-0.03668554,0.08254611,0.12649971,2.49681705
-0.03410053,0.07669234,0.11522906,2.64525351

==============================
MCFS - Scene Dataset - ari,nmi,sillhouette,db
0.06154528,0.14608587,0.16575768,2.06316632
0.06010993,0.11588427,0.10584377,2.72571436
0.05736727,0.10736739,0.0975947,2.97521625
0.03676362,0.10563903,0.10528529,2.84759377
0.00943826,0.10050367,0.11779126,2.66614145
-0.04049445,0.06887569,0.1218535,2.65722203
0.01100591,0.10005803,0.12400519,2.58788547
-0.03594527,0.07533272,0.1252824,2.54294315
-0.03514878,0.0700981,0.10924228,2.7516015

==============================
UDFS - Scene Dataset - ari,nmi,sillhouette,db
0.03684842,0.0108516,0.16527976,2.61365566
-0.08607352,0.06302079,0.18683689,2.23078838
-0.07170188,0.08429806,0.17325734,2.25519302
-0.07053965,0.09533309,0.18127319,2.15505649
-0.07407357,0.0920432,0.19207041,2.10212527
-0.07723923,0.0972935,0.18575558,2.1854018
-0.07741646,0.09425317,0.17858505,2.27648901
-0.07340243,0.08504453,0.17057356,2.38938757
-0.0735705,0.08487565,0.1715874,2.46796372

==============================
