LS - Sonar Dataset - ari,nmi,sillhouette,db
-0.00396953,5.497e-05,0.42287571,0.92805405
-0.00480727,0.00033168,0.30922543,1.23943453
-0.00333209,0.00221506,0.27615073,1.41248197
-0.00398357,0.00143557,0.23382481,1.62455246
0.01087192,0.01309016,0.20594765,1.81354489
0.00641262,0.00956228,0.18304902,1.97210088
0.00641149,0.00929038,0.16981973,2.07299383
0.00854775,0.01081178,0.15580356,2.20652517
0.03613808,0.02907748,0.14664456,2.30399319

==============================
MCFS - Sonar Dataset - ari,nmi,sillhouette,db
-0.00331754,0.00024508,0.34201858,1.12674436
-0.00396953,5.497e-05,0.22746491,1.57238906
-0.00148651,0.00206437,0.184132,1.96796477
0.01337683,0.01282488,0.17613519,2.03002731
0.00445799,0.00681357,0.15073854,2.25549105
0.02526934,0.02082877,0.14180103,2.31597515
0.01337683,0.01282488,0.13726437,2.37346186
0.01607087,0.01488495,0.13953018,2.34723768
0.01086834,0.01113964,0.13400712,2.41952251

==============================
UDFS - Sonar Dataset - ari,nmi,sillhouette,db
0.01612009,0.02883735,0.29439521,1.49461143
0.01341545,0.0231143,0.22672862,1.74231327
0.04432982,0.04575926,0.21651838,2.04574595
0.05799026,0.06010252,0.21651087,2.14010137
0.05325379,0.05656491,0.21471995,2.16628869
0.03234435,0.03472474,0.18267632,2.30596492
0.04014563,0.04049362,0.17683993,2.29242051
0.03614976,0.03662498,0.17373161,2.32690096
0.00111661,0.00521649,0.14438499,2.3484403

==============================
