LS - TOX-171 Dataset - ari,nmi,sillhouette,db
0.25959854,0.32890122,0.14171981,2.04615869
0.18324598,0.30181491,0.11370696,2.42735832
0.17888837,0.29346304,0.10305465,2.51413398
0.1806577,0.23314143,0.09214517,2.62360011
0.171712,0.2249332,0.08501285,2.72052224
0.15452821,0.20728887,0.07925584,2.81428383
0.16426357,0.21716655,0.07407445,2.95560709
0.16058873,0.22012666,0.06843512,3.03511509
0.18350392,0.2436127,0.06388621,3.15574491

==============================
MCFS - TOX-171 Dataset - ari,nmi,sillhouette,db
0.19329557,0.2713149,0.06082625,3.18678004
0.22143942,0.29640054,0.05417048,3.33125053
0.21214886,0.27088785,0.0561973,3.33945002
0.22247916,0.28592303,0.05700727,3.24437932
0.21104127,0.26752528,0.05731131,3.24443731
0.21255813,0.26924325,0.05795819,3.23982007
0.23465889,0.31116928,0.05755617,3.28544313
0.17144531,0.22735868,0.05721221,3.32789253
0.1872277,0.24273152,0.05765084,3.17342081

==============================
UDFS - TOX-171 Dataset - ari,nmi,sillhouette,db
0.09895601,0.12205368,0.04435725,3.31063313
0.13733071,0.19433037,0.05197685,3.19458357
0.11050275,0.16942492,0.05514305,3.0888727
0.09181367,0.15357574,0.05157105,3.19776465
0.0929525,0.15455911,0.0514512,3.20441849
0.10705563,0.17952014,0.04736051,3.18562137
0.10715233,0.18031723,0.04713897,3.20202
0.13874622,0.21311356,0.04519573,3.38885009
0.16110224,0.23098867,0.04448978,3.40600995

==============================
