LS - Wine Dataset - ari,nmi,sillhouette,db
0.52821798,0.54776087,0.6198444,0.48705901
0.52917264,0.59488925,0.51619575,0.72472574
0.6361818,0.6652541,0.49147706,0.75093079
0.8158756,0.80865893,0.42645216,0.87166839
0.8060035,0.79993083,0.43934283,0.87235723
0.78985553,0.77400146,0.39625792,1.00637808
0.83189708,0.80692563,0.36189559,1.1160067
0.87919081,0.86332878,0.33898695,1.2121485
0.86494783,0.84660981,0.3259919,1.26372405

==============================
MCFS - Wine Dataset - ari,nmi,sillhouette,db
0.39586004,0.37133144,0.57711955,0.51786888
0.51125828,0.47563274,0.45163648,0.8405272
0.69648292,0.69075158,0.41414902,0.9419169
0.73387459,0.69158482,0.31917493,1.21639362
0.71774482,0.6711269,0.32837022,1.20322006
0.79062232,0.74376773,0.32447968,1.2218608
0.82030117,0.81037907,0.29829254,1.28794915
0.8060035,0.79993083,0.30050171,1.32538731
0.82030117,0.81037907,0.2877639,1.39497066

==============================
UDFS - Wine Dataset - ari,nmi,sillhouette,db
0.25089082,0.3155793,0.56415143,0.53473173
0.37125523,0.47015999,0.45748407,0.80984467
0.44852265,0.52850825,0.35039347,1.12215903
0.7603351,0.75090822,0.31620435,1.29385748
0.77598602,0.76423809,0.30920027,1.34163921
0.67973092,0.71033441,0.28251201,1.39790924
0.74044835,0.75490962,0.271571,1.42715359
0.71301243,0.71638748,0.2636586,1.40518808
0.86494783,0.84660981,0.28735677,1.35430215

==============================
