LS - Zoo Dataset - ari,nmi,sillhouette,db
0.38707303,0.59294962,0.67632314,0.4094054
0.59901991,0.74714365,0.81908086,0.21011577
0.80495485,0.84248948,0.87911808,0.16339941
0.8719878,0.90197775,0.83469218,0.37463951
0.8774892,0.90669869,0.79482875,0.49749418
0.71012281,0.85377718,0.75613683,0.53325754
0.70275114,0.83787879,0.63805027,0.6940447
0.54650775,0.76426072,0.52239233,0.83768469
0.52803207,0.75354683,0.45593195,1.02760971

==============================
MCFS - Zoo Dataset - ari,nmi,sillhouette,db
0.25488088,0.48773037,0.69735823,0.37645677
0.60948926,0.72336379,0.81884422,0.38339442
0.43421901,0.66896518,0.72247354,0.5141776
0.5763207,0.75010731,0.65383868,0.66362801
0.48827651,0.72260267,0.50348822,0.86896765
0.41914373,0.64376678,0.46823131,0.94490005
0.51070463,0.73692357,0.48281029,0.90037964
0.51070463,0.73692357,0.47662671,0.90558124
0.59726034,0.81462435,0.42132058,1.2166917

==============================
UDFS - Zoo Dataset - ari,nmi,sillhouette,db
-0.04130183,0.03441638,1.0,1e-08
0.31542086,0.4988773,1.0,2e-08
0.35139195,0.57410047,0.95090579,0.31953097
0.45639919,0.63072721,0.83047986,0.47171097
0.46045842,0.63884303,0.54157447,0.81115235
0.63052286,0.78263728,0.48521447,0.9994453
0.60551568,0.7302971,0.47609913,1.03622425
0.80378056,0.88814783,0.49501082,1.03336403
0.61393967,0.7460384,0.43536684,1.26278371

==============================
