VCSDFS - Lymphography Dataset - ari,nmi,sillhouette,db
0.14529695,0.16888893,0.77855118,0.43769069
0.15239607,0.16962438,1.0,1e-08
0.1386567,0.16514176,0.54472945,0.832041
0.14720232,0.16216715,0.35004694,1.2730268
0.15549865,0.22682905,0.23024124,1.50354814
0.1684608,0.2421418,0.19727846,1.57634561
0.04651158,0.16089746,0.1250246,1.80921223
0.11399985,0.21494246,0.13849649,1.83580327
0.10470668,0.21572169,0.1390939,1.85285997

==============================
FMIUFS - Lymphography Dataset - ari,nmi,sillhouette,db
0.14529695,0.16888893,0.77855118,0.43769069
0.11299716,0.12665331,0.41664855,0.92582264
0.15152801,0.13867366,0.23878795,1.34780277
0.15635229,0.16128454,0.17184023,1.69633147
0.21061421,0.22094908,0.16204901,1.82371642
0.09171097,0.1284195,0.13901522,1.90744553
0.2101394,0.21942698,0.13755004,2.03313541
0.22995472,0.24553724,0.12462477,2.07692637
0.16725154,0.18385655,0.12065709,2.18341472

==============================
SRCFS - Lymphography Dataset - ari,nmi,sillhouette,db
0.00445148,0.03592821,1.0,1e-08
0.02953875,0.06664184,0.89157357,0.37989524
0.01838378,0.05466648,0.3349825,1.20524309
0.03441393,0.12815735,0.24528597,1.41930457
0.0877277,0.16538842,0.19135831,1.69871672
0.12552164,0.19327082,0.16884547,1.68310987
0.0894963,0.12207586,0.14704387,1.86676782
0.1178015,0.20198376,0.13392951,1.72746904
0.13206057,0.17904649,0.10469941,2.09706139

==============================
