VCSDFS - Madelon Dataset - ari,nmi,sillhouette,db
-1.41e-05,0.00026759,0.01623228,7.6015838
0.0203154,0.0150122,0.00994659,9.77235671
0.02235725,0.01658457,0.00767345,11.07921565
0.02353029,0.01731896,0.00889137,10.27682579
0.01943869,0.0143418,0.00818506,10.69721479
0.01987555,0.01472199,0.00740832,11.19249227
0.02878972,0.02124,0.00857266,10.45008718
0.03038669,0.02230365,0.0080237,10.80211216
0.03371253,0.02486457,0.00720451,11.37705299

==============================
FMIUFS - Madelon Dataset - ari,nmi,sillhouette,db
0.03963054,0.02905555,0.06839234,3.54839704
0.03901723,0.02860159,0.03508444,5.11088748
0.0360221,0.02642406,0.02368524,6.27968016
0.03661196,0.02688303,0.01791428,7.24536477
0.03690844,0.02709108,0.01437338,8.09810895
0.03780513,0.02773607,0.01200373,8.8609292
0.03810639,0.02795239,0.01031442,9.55197653
0.02878845,0.02114011,0.00992827,9.73075221
0.02800542,0.02057819,0.00924825,10.0723641

==============================
SRCFS - Madelon Dataset - ari,nmi,sillhouette,db
0.02800532,0.02057064,0.07764133,3.28417186
0.03011745,0.02211543,0.03993206,4.7576501
0.02774662,0.02038103,0.02692619,5.86629982
0.0290521,0.02135038,0.02046774,6.76420063
0.02905213,0.02135276,0.01642326,7.56653796
0.02800661,0.02066963,0.01380387,8.26417808
0.02826517,0.02075846,0.01179818,8.93574074
0.02878867,0.02115725,0.01035712,9.52621289
0.02547188,0.0187324,0.00922283,10.09075424

==============================
