VCSDFS - Scene Dataset - ari,nmi,sillhouette,db
-0.10424385,0.0695801,0.31060864,1.41443645
-0.09612707,0.05910988,0.30474299,1.57085677
-0.09894352,0.06790707,0.29701045,1.58333303
-0.09320014,0.06062926,0.25186939,1.85172703
-0.09273529,0.06234944,0.22619354,2.05448847
-0.08992188,0.06157921,0.19507608,2.26317429
-0.08908913,0.05963952,0.17884588,2.44707699
-0.08903509,0.0597942,0.17699572,2.57575411
-0.0892437,0.06329729,0.19332018,2.54319738

==============================
FMIUFS - Scene Dataset - ari,nmi,sillhouette,db
-0.07095795,0.0463369,0.16477961,2.52709076
-0.07645572,0.05701274,0.16233195,2.64329658
-0.07510398,0.0663465,0.15344256,2.75540067
-0.07582147,0.0702415,0.15715859,2.69432547
-0.07555891,0.07056243,0.16313142,2.73101771
-0.07370922,0.06808968,0.16593491,2.7082894
-0.07669732,0.06668535,0.1689667,2.69111846
-0.07652085,0.06445983,0.17133043,2.68359301
-0.07633688,0.06715999,0.17736372,2.61780318

==============================
SRCFS - Scene Dataset - ari,nmi,sillhouette,db
-0.01786992,0.10702857,0.25625956,1.51108119
0.00316486,0.11994991,0.22893987,1.63355244
0.00447619,0.11900345,0.19525867,1.85873357
0.00489149,0.12633702,0.17554101,2.03167997
-0.00590388,0.12173795,0.15455186,2.25978093
-0.02518772,0.12180798,0.14977997,2.36614957
-0.06956678,0.09620601,0.16252229,2.34391137
-0.07149469,0.0944632,0.15763459,2.45000747
-0.07476726,0.08617999,0.1647685,2.48601842

==============================
