VARFILTER - AR10P Dataset - ari,nmi,sillhouette,db
0.01842009,0.15631285,0.14456811,1.59780942
0.03641989,0.19061959,0.14411806,1.70329916
-0.01015116,0.09716719,0.1612625,1.56564018
0.00323811,0.13678263,0.17027476,1.62677073
0.0054684,0.14379776,0.16919124,1.50525153
0.01809969,0.16601938,0.15415373,1.70585809
0.00935493,0.16249417,0.16342191,1.50695737
0.04403539,0.2385517,0.14323861,1.712785
0.1134579,0.32591947,0.14566288,1.71940924

==============================
SUMFILTER - AR10P Dataset - ari,nmi,sillhouette,db
0.03910615,0.20793906,0.12348743,1.65471856
0.02149581,0.17232392,0.13700108,1.72282876
0.10614595,0.30287431,0.11804637,1.87712879
0.09290323,0.30369636,0.1320867,1.69138534
0.11535032,0.32792204,0.12904111,1.80114102
0.08029542,0.28762579,0.1521718,1.64941819
0.11156503,0.32398573,0.19074323,1.4414928
0.13110994,0.35984891,0.16973041,1.58557568
0.10218473,0.33298875,0.17925251,1.46960812

==============================
