VARFILTER - PIE10P Dataset - ari,nmi,sillhouette,db
0.11090682,0.31801257,0.15737708,1.70058204
0.1047359,0.31350809,0.16669783,1.73115398
0.09756701,0.31152984,0.17047037,1.65967388
0.13444169,0.36264232,0.16803008,1.55775364
0.1651666,0.40716163,0.19514764,1.58456384
0.16008358,0.39933161,0.1954649,1.65562271
0.22505655,0.47889389,0.17964213,1.66740363
0.20409353,0.45760086,0.17844957,1.68121011
0.17083507,0.45935336,0.22398499,1.34864678

==============================
SUMFILTER - PIE10P Dataset - ari,nmi,sillhouette,db
0.07930991,0.28399739,0.16443747,1.58970288
0.07680915,0.28705307,0.16144943,1.62074613
0.05150126,0.24222938,0.18188647,1.64891485
0.04135221,0.23167698,0.21239937,1.51738604
0.08752501,0.30699503,0.24562243,1.50969862
0.15034871,0.38009133,0.23193077,1.53743886
0.12675527,0.34389673,0.23945208,1.47664435
0.11148933,0.36731329,0.31241283,1.38633887
0.14796212,0.38719174,0.28240353,1.23785969

==============================
