DUFS - Lymphoma Dataset - ari,nmi,sillhouette,db
0.36590196,0.68605928,0.06663738,2.49897495
0.29378093,0.64965615,0.06494541,2.66382842
0.40444745,0.71017447,0.06924914,2.51624252
0.30365526,0.65771645,0.07069044,2.43087454
0.44229464,0.73089527,0.06903787,2.49269394
0.30365526,0.65771645,0.06931579,2.45079978
0.39470954,0.7306074,0.07036129,2.49343264
0.39297125,0.73029561,0.06963505,2.49031545
0.42090135,0.74688363,0.07349915,2.53199918

==============================
LS - Lymphoma Dataset - ari,nmi,sillhouette,db
0.31189316,0.65588408,0.17861329,1.73430618
0.33768976,0.67154951,0.14925254,1.92996188
0.33314944,0.66396049,0.13331816,2.09629831
0.31877428,0.64155986,0.11567459,2.18788353
0.30914593,0.66343131,0.10482094,2.23875436
0.29609462,0.66745192,0.09759549,2.37773521
0.33206535,0.69430905,0.09501042,2.2756803
0.33628507,0.6918265,0.08815823,2.32739117
0.34861,0.67258796,0.08024203,2.41899716

==============================
MCFS - Lymphoma Dataset - ari,nmi,sillhouette,db
0.35543333,0.70527585,0.08483736,2.38706644
0.30906253,0.68214398,0.07767664,2.51941971
0.32463044,0.65595242,0.06268558,2.69308011
0.29420848,0.64033191,0.07606291,2.52160988
0.26763989,0.65822321,0.08407735,2.39558526
0.26095555,0.6193702,0.06804377,2.57430628
0.29566798,0.67123866,0.07665953,2.52923309
0.27483432,0.63876869,0.07682421,2.5318744
0.26741734,0.63588239,0.07684685,2.51335309

==============================
UDFS - Lymphoma Dataset - ari,nmi,sillhouette,db
0.3237205,0.62300212,0.05894161,2.70561281
0.42842461,0.75633721,0.06953164,2.44776835
0.32496859,0.69441516,0.07099265,2.51292119
0.39903924,0.71632753,0.06126965,2.62452619
0.30232278,0.6451361,0.0816847,2.37025702
0.29536502,0.64423659,0.08260105,2.39802617
0.30232278,0.6451361,0.08505661,2.37619963
0.38481959,0.717174,0.06796794,2.5501488
0.39807699,0.73100752,0.06774265,2.49005251

==============================
VCSDFS - Lymphoma Dataset - ari,nmi,sillhouette,db
0.39378648,0.66873992,0.05688255,2.58344634
0.24326275,0.56979762,0.0617526,2.68103434
0.28657379,0.59131334,0.06643892,2.63722418
0.29421957,0.63729177,0.0603243,2.60215163
0.30383503,0.64218527,0.06177512,2.64273925
0.37760661,0.65482109,0.06033449,2.53443662
0.31192776,0.62710394,0.05845765,2.61373514
0.29742266,0.62437559,0.05472418,2.69558465
0.39953039,0.69481546,0.06292337,2.62462576

==============================
SRCFS - Lymphoma Dataset - ari,nmi,sillhouette,db
0.33194644,0.68339983,0.15854876,1.85143189
0.36400373,0.6849036,0.12362266,1.99675298
0.3992528,0.72966902,0.11477413,2.01602012
0.34486924,0.69779821,0.1089771,2.14789868
0.37754101,0.72175597,0.10787124,2.16563844
0.39893465,0.72482537,0.0903002,2.28680999
0.39779737,0.72914319,0.08817132,2.2480165
0.37088359,0.71462959,0.08194054,2.37044449
0.24739856,0.62022525,0.08958184,2.39738589

==============================
VARFILTER - Lymphoma Dataset - ari,nmi,sillhouette,db
0.24387556,0.62991615,0.08528055,2.42138245
0.35219123,0.69107083,0.06254898,2.55682428
0.27034115,0.61778444,0.08150228,2.32630695
0.38240681,0.70243985,0.06743928,2.5770974
0.41111379,0.6962587,0.05454214,2.51488847
0.46758387,0.76697766,0.07348717,2.29417713
0.28651225,0.6457951,0.08762722,2.38782342
0.22879347,0.55035984,0.04965469,2.71267515
0.26151849,0.57834298,0.05335387,2.60909728

==============================
SUMFILTER - Lymphoma Dataset - ari,nmi,sillhouette,db
0.30387924,0.65810948,0.060954,2.44826382
0.30953196,0.65993058,0.06814697,2.40204778
0.27351244,0.63560896,0.06090725,2.72925048
0.30294799,0.65957008,0.06827783,2.40181776
0.40225855,0.70302895,0.07157878,2.35043492
0.46073414,0.74562487,0.06693369,2.34038248
0.28504687,0.64767751,0.07037807,2.49013229
0.27917334,0.60331465,0.04478237,2.76011357
0.33888695,0.60476416,0.06522856,2.51977188

==============================
